id,fiscal_year,function_,program,department,Type,Type_Detail,approved_amount,fund_type,exFund,ExpenseType,ObjectId
471,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,133933,General,General,Expenditures,11546
472,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,734634,General,General,Expenditures,11547
473,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Liability Insurance Charges,55390,General,General,Expenditures,11548
474,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,5940,General,General,Expenditures,11549
475,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,3853,General,General,Expenditures,11550
476,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Computer Supplies,2406,General,General,Expenditures,11551
477,2020,Culture and Recreation,,Parks and Recreation,General Supplies,RECTRAC System Supplies,132,General,General,Expenditures,11552
478,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,26786,General,General,Expenditures,11553
479,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,400,General,General,Expenditures,11554
480,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Fitness Equipment,2759,General,General,Expenditures,11555
481,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Arts and Craft Supplies,2764,General,General,Expenditures,11556
482,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,2264,General,General,Expenditures,11557
483,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Decorations,2268,General,General,Expenditures,11558
484,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Costumes,264,General,General,Expenditures,11559
485,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Landscaping Supplies,3143,General,General,Expenditures,11560
486,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Photo & Duplicating Supplies,124,General,General,Expenditures,11561
487,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,859,General,General,Expenditures,11562
488,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,46673,General,General,Expenditures,11563
489,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Artistic Services,200000,Special Revenue,Special Revenue,Expenditures,11606
490,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,10600,Special Revenue,Special Revenue,Expenditures,11654
491,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Fitness Equipment,150,Special Revenue,Special Revenue,Expenditures,11676
492,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,32000,Special Revenue,Special Revenue,Expenditures,11680
493,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,2000,Special Revenue,Special Revenue,Expenditures,11696
494,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,2000,Special Revenue,Special Revenue,Expenditures,11701
495,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,1000,Special Revenue,Special Revenue,Expenditures,11708
496,2020,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,4000,Special Revenue,Special Revenue,Expenditures,11715
497,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Office Furnishings,1400,Special Revenue,Special Revenue,Expenditures,11722
498,2020,Economic Development and Assistance,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,25000,Special Revenue,Special Revenue,Expenditures,11747
499,2020,Welfare,,Parks and Recreation,Miscellaneous,Internal Charges,8000,Special Revenue,Special Revenue,Expenditures,11776
500,2020,Welfare,,Parks and Recreation,General Supplies,Special Department Supplies,71000,Special Revenue,Special Revenue,Expenditures,11781
501,2020,Welfare,,Parks and Recreation,General Supplies,Groceries,89000,Special Revenue,Special Revenue,Expenditures,11782
502,2020,Welfare,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,20000,Special Revenue,Special Revenue,Expenditures,11783
503,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,300,Special Revenue,Special Revenue,Expenditures,11784
504,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,300,Special Revenue,Special Revenue,Expenditures,11785
505,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,527725,Special Revenue,Special Revenue,Expenditures,11786
506,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,126480,Special Revenue,Special Revenue,Expenditures,11787
507,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,150655,Special Revenue,Special Revenue,Expenditures,11788
508,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,9473,Special Revenue,Special Revenue,Expenditures,11789
509,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,7842,Special Revenue,Special Revenue,Expenditures,11790
510,2020,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,176841,Special Revenue,Special Revenue,Expenditures,11791
511,2020,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,50,Special Revenue,Special Revenue,Expenditures,11792
512,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,20000,Special Revenue,Special Revenue,Expenditures,11793
513,2020,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,5000,Special Revenue,Special Revenue,Expenditures,11794
514,2020,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,200,Special Revenue,Special Revenue,Expenditures,11795
515,2020,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,1796000,Special Revenue,Special Revenue,Expenditures,11796
516,2020,Culture and Recreation,,Parks and Recreation,Utilities,Waste Removal,4500,Special Revenue,Special Revenue,Expenditures,11797
517,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,"Freight, Moving & Storage",200,Special Revenue,Special Revenue,Expenditures,11798
518,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,2000,Special Revenue,Special Revenue,Expenditures,11799
519,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,34000,Special Revenue,Special Revenue,Expenditures,11800
520,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,5000,Special Revenue,Special Revenue,Expenditures,11801
521,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,1872,Special Revenue,Special Revenue,Expenditures,11802
522,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,300,Special Revenue,Special Revenue,Expenditures,11803
523,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,200,Special Revenue,Special Revenue,Expenditures,11804
524,2020,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Facilities,810000,Special Revenue,Special Revenue,Expenditures,11805
525,2020,Culture and Recreation,,Parks and Recreation,Rentals,Port-A-Potties,13100,Special Revenue,Special Revenue,Expenditures,11806
526,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,200,Special Revenue,Special Revenue,Expenditures,11807
527,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,20000,Special Revenue,Special Revenue,Expenditures,11808
528,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,4281,Special Revenue,Special Revenue,Expenditures,11809
529,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,1480,Special Revenue,Special Revenue,Expenditures,11810
530,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,41828,Special Revenue,Special Revenue,Expenditures,11811
531,2020,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Capital Recovery Expense,3500,Special Revenue,Special Revenue,Expenditures,11812
532,2020,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,660,Special Revenue,Special Revenue,Expenditures,11813
533,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,14680,Special Revenue,Special Revenue,Expenditures,11814
534,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Paper Products,4000,Special Revenue,Special Revenue,Expenditures,11815
535,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,5000,Special Revenue,Special Revenue,Expenditures,11816
536,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Medical Services,1326,Special Revenue,Special Revenue,Expenditures,11818
537,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,22114,Special Revenue,Special Revenue,Expenditures,11820
538,2020,Culture and Recreation,,Parks and Recreation,Professional Services,Field Trip Vendors,3300,Special Revenue,Special Revenue,Expenditures,11825
539,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,1580,Special Revenue,Special Revenue,Expenditures,11830
540,2020,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,3892,Special Revenue,Special Revenue,Expenditures,11835
541,2020,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Facilities,95000,Special Revenue,Special Revenue,Expenditures,11872
542,2020,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,7510,Special Revenue,Special Revenue,Expenditures,11875
543,2020,Culture and Recreation,,Parks and Recreation,Rentals,Port-A-Potties,1020,Special Revenue,Special Revenue,Expenditures,11876
544,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,302,Special Revenue,Special Revenue,Expenditures,11880
545,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Internal Charges,89270,Special Revenue,Special Revenue,Expenditures,11884
546,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,14320,Special Revenue,Special Revenue,Expenditures,11888
547,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Office Supplies,2000,Special Revenue,Special Revenue,Expenditures,11892
548,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Special Department Supplies,12800,Special Revenue,Special Revenue,Expenditures,11896
549,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Awards/Trophies,20000,Special Revenue,Special Revenue,Expenditures,11897
550,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Sports Equipment,3000,Special Revenue,Special Revenue,Expenditures,11898
551,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Medical Supplies,200,Special Revenue,Special Revenue,Expenditures,11899
552,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,1000,Special Revenue,Special Revenue,Expenditures,11900
553,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Community Events - Perishables,100,Special Revenue,Special Revenue,Expenditures,11901
554,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,10000,Special Revenue,Special Revenue,Expenditures,11902
555,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,1000,Special Revenue,Special Revenue,Expenditures,11903
556,2020,Culture and Recreation,,Parks and Recreation,General Supplies,Leagues & Tournaments,10000,Special Revenue,Special Revenue,Expenditures,11904
557,2020,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,81732,Special Revenue,Special Revenue,Expenditures,12053
558,2020,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Paid Time Not Worked,156,Special Revenue,Special Revenue,Expenditures,12054
559,2020,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Salary Add- Ons,18,Special Revenue,Special Revenue,Expenditures,12055
560,2020,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,23372,Special Revenue,Special Revenue,Expenditures,12056
561,2020,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,1185,Special Revenue,Special Revenue,Expenditures,12057
562,2020,Economic Development and Assistance,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,22050,Special Revenue,Special Revenue,Expenditures,12058
563,2020,Economic Development and Assistance,,Parks and Recreation,Utilities,Telephone - Basic,103,Special Revenue,Special Revenue,Expenditures,12059
564,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,10000,General,General,Revenue,13601
565,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,1300,General,General,Revenue,13604
566,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Fund Raising Events,500,General,General,Revenue,13607
567,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,92900,General,General,Revenue,13611
568,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Other Miscellaneous,250000,General,General,Revenue,13616
569,2020,Economic Development and Assistance,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,90700,Special Revenue,Special Revenue,Revenue,13631
570,2020,Economic Development and Assistance,,Parks and Recreation,Charges for Service,Charges For Labor/Material,40000,Special Revenue,Special Revenue,Revenue,13632
571,2020,Welfare,,Parks and Recreation,Miscellaneous Revenue,Donations,1120,Special Revenue,Special Revenue,Revenue,13724
572,2020,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,100000,Special Revenue,Special Revenue,Revenue,13730
573,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-1800,Special Revenue,Special Revenue,Revenue,13743
574,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,7500,Special Revenue,Special Revenue,Revenue,13753
575,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,140000,Special Revenue,Special Revenue,Revenue,13761
576,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-315000,Special Revenue,Special Revenue,Revenue,13769
577,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,16800,Special Revenue,Special Revenue,Revenue,13776
578,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Field Fees Revenue,3954592,Special Revenue,Special Revenue,Revenue,13783
579,2020,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,Federal Grants,40000,Special Revenue,Special Revenue,Revenue,13806
580,2020,Culture and Recreation,,Parks and Recreation,Intergovernmental Revenue,State Grants,1500,Special Revenue,Special Revenue,Revenue,13807
581,2020,Culture and Recreation,,Parks and Recreation,Interest Earnings,Interest On Investments,23504,Special Revenue,Special Revenue,Revenue,13808
582,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,80000,Special Revenue,Special Revenue,Revenue,13809
583,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Sponsorships,20000,Special Revenue,Special Revenue,Revenue,13810
584,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Other Reimbursements,15000,Special Revenue,Special Revenue,Revenue,13811
585,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Tournament % Surcharge Revenues,190000,Special Revenue,Special Revenue,Revenue,13814
586,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Light Fee Revenue,910000,Special Revenue,Special Revenue,Revenue,13824
587,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Equipment Rentals,1000,Special Revenue,Special Revenue,Revenue,13830
588,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,10000,Special Revenue,Special Revenue,Revenue,13836
589,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,265900,Special Revenue,Special Revenue,Revenue,13842
590,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-4996,Special Revenue,Special Revenue,Revenue,13870
591,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Sponsorships,48000,Special Revenue,Special Revenue,Revenue,13875
592,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,3100,General,General,Revenue,13922
593,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-9400,General,General,Revenue,13925
594,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Fee Waivers,-829000,General,General,Revenue,13929
595,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Park Rentals,114500,General,General,Revenue,13933
596,2020,Economic Development and Assistance,,Parks and Recreation,Miscellaneous Revenue,Donations,25000,Special Revenue,Special Revenue,Revenue,13949
597,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Equipment Rentals,28300,General,General,Revenue,13952
598,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Swimming Pool Fees,285000,General,General,Revenue,13954
599,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,1809000,General,General,Revenue,13956
600,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration-Contra,-400,General,General,Revenue,13958
601,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Memberships,1191087,General,General,Revenue,13961
602,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,POS Sales,3400,General,General,Revenue,13962
603,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Miscellaneous Fees,100300,General,General,Revenue,13963
604,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Miscellaneous Rentals,747742,General,General,Revenue,13964
605,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Facility Rentals,342787,General,General,Revenue,13965
606,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Park Rentals,263071,General,General,Revenue,13966
607,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Leisure Equipment Rentals,500,General,General,Revenue,13967
608,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Cash Over Or Short,-20,General,General,Revenue,13968
609,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,1770,General,General,Revenue,13969
610,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Fund Raising Events,3180,General,General,Revenue,13970
611,2020,Culture and Recreation,,Parks and Recreation,Miscellaneous Revenue,Donations,20,General,General,Revenue,13971
612,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Program Registration,110000,General,General,Revenue,13972
613,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,Memberships,132000,General,General,Revenue,13973
614,2020,Culture and Recreation,,Parks and Recreation,Charges for Service,POS Sales,37300,General,General,Revenue,13974
615,2020,Culture and Recreation,,Parks and Recreation,Taxes,Residential Park Construction Tax,850000,Capital Projects,Capital Projects,Revenue,14039
616,2020,Welfare,,Parks and Recreation,Appropriated Fund Balance,Appropriated Fund Balance,186880,Special Revenue,Special Revenue,Revenue,14307
617,2020,Culture and Recreation,,Parks and Recreation,Appropriated Fund Balance,Appropriated Fund Balance,19996,Special Revenue,Special Revenue,Revenue,14313
618,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Non-Employee Travel,2198,General,,Expenditures,16402
619,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Groceries,43967,General,,Expenditures,16403
620,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Custodial Services,311,General,,Expenditures,16404
621,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Meals & Entertainment,2259,General,,Expenditures,16406
622,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Lunch Programs,196,General,,Expenditures,16407
623,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Artistic Services,1629,General,,Expenditures,16408
624,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Salaries and Wages,1655082,General,,Expenditures,16431
625,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Salaries and Wages,-49652,General,,Expenditures,16432
626,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Hourly Wages,32724,General,,Expenditures,16433
627,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Overtime,2290,General,,Expenditures,16434
628,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Bonus/Settlement Pay,105,General,,Expenditures,16435
629,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Employee Retirement,484111,General,,Expenditures,16436
630,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Medicare Insurance,24827,General,,Expenditures,16437
631,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Health and Wellness Allowance,22000,General,,Expenditures,16438
632,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",OASDI,2029,General,,Expenditures,16439
633,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Benefit Allocation,375995,General,,Expenditures,16440
634,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Benefit Allocation,-11246,General,,Expenditures,16441
635,2021,Culture and Recreation,,Parks and Recreation,"Salaries, Wages & Benefits",Vacancy Factor Direct Benefits,-15253,General,,Expenditures,16442
636,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Catering Services,5300,General,,Expenditures,16445
637,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Other Professional Services,13879,General,,Expenditures,16446
638,2021,Culture and Recreation,,Parks and Recreation,Professional Services,DJ Services,467,General,,Expenditures,16447
639,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,1214,General,,Expenditures,16448
640,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,200,General,,Expenditures,16449
641,2021,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,25000,General,,Expenditures,16450
642,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,2947,General,,Expenditures,16451
643,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Travel,5395,General,,Expenditures,16452
644,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,1260,General,,Expenditures,16453
645,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,4396,General,,Expenditures,16454
646,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Seminars/Outside Training Fees,3700,General,,Expenditures,16455
647,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Guest Speaker Fees,5000,General,,Expenditures,16456
648,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,25586,General,,Expenditures,16457
649,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,9944,General,,Expenditures,16458
650,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,966,General,,Expenditures,16459
651,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,82934,General,,Expenditures,16460
652,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Community Events - Perishables,2172,General,,Expenditures,16461
653,2021,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Software,14500,General,,Expenditures,16462
654,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Water,1058,General,,Expenditures,16465
655,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Kitchen Utensils,200,General,,Expenditures,16467
656,2021,Culture and Recreation,,Parks and Recreation,Rentals,Rental Of Office Equipment,4286,General,,Expenditures,16468
657,2021,Culture and Recreation,,Parks and Recreation,Professional Services,Permit Fees,7100,General,,Expenditures,16471
658,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Basic,41901,General,,Expenditures,16472
659,2021,Culture and Recreation,,Parks and Recreation,Utilities,Telephone - Long Distance,10,General,,Expenditures,16473
660,2021,Culture and Recreation,,Parks and Recreation,Utilities,Electricity,2500,General,,Expenditures,16476
661,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Uniform & Clothing Purchases,30113,General,,Expenditures,16477
662,2021,Culture and Recreation,,Parks and Recreation,Rentals,Miscellaneous Rentals,1000,General,,Expenditures,16481
663,2021,Culture and Recreation,,Parks and Recreation,Utilities,Waste Removal,375,General,,Expenditures,16483
664,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Staff Uniforms,11457,General,,Expenditures,16484
665,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Dues & Subscriptions,18945,General,,Expenditures,16488
666,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,"Freight, Moving & Storage",1773,General,,Expenditures,16490
667,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Leagues & Tournaments,62986,General,,Expenditures,16492
668,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Alarm & Security Services,45424,General,,Expenditures,16495
669,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Postage & Shipping,335,General,,Expenditures,16541
670,2021,Culture and Recreation,,Parks and Recreation,General Supplies,Educational Supplies,5290,General,,Expenditures,16542
671,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Contract Services,35000,General,,Expenditures,16544
672,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Travel,7957,General,,Expenditures,16547
673,2021,Culture and Recreation,,Parks and Recreation,Building Maintenance,Custodial Supplies,4997,General,,Expenditures,16548
674,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Mileage Reimbursement,3274,General,,Expenditures,16552
675,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,-303221,General,,Expenditures,16553
676,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Gasoline,7776,General,,Expenditures,16554
677,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Training & Development,1954,General,,Expenditures,16558
678,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - City Vehicles,5016,General,,Expenditures,16559
679,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Diesel Fuel,120,General,,Expenditures,16560
680,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Printing & Reproduction,18110,General,,Expenditures,16564
681,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,Maint - Radios & Pagers,9360,General,,Expenditures,16565
682,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Equipment Replacement,17685,General,,Expenditures,16566
683,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Copying Charges,21507,General,,Expenditures,16607
684,2021,Culture and Recreation,,Parks and Recreation,Machinery & Equip Maintenance,Alternative Fuels,670,General,,Expenditures,16609
685,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Small Tools & Equipment,5135,General,,Expenditures,16610
686,2021,Culture and Recreation,,Parks and Recreation,Vehicle & Eqiup Maint/Cap Recovery,PC Applications & Infrastructure,84890,General,,Expenditures,16611
687,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Desktop Printer Charges,1502,General,,Expenditures,16612
688,2021,Culture and Recreation,,Parks and Recreation,Furnishing & Small Tools,Telephone Supplies,77,General,,Expenditures,16617
689,2021,Culture and Recreation,,Parks and Recreation,Communication & Transport,Advertising,24,General,,Expenditures,16619
690,2021,Culture and Recreation,,Parks and Recreation,Liability Insurance,Vehicle Liability Insurance,360,General,,Expenditures,16620
691,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Other Miscellaneous Expenses,100000,General,,Expenditures,16622
692,2021,Culture and Recreation,,Parks and Recreation,Maintenance & Repairs,Maintenance Of Facilities,3000,General,,Expenditures,16624
693,2021,Culture and Recreation,,Parks and Recreation,Miscellaneous,Facility Charges,115890,General,,Expenditures,16625
